total_bill,tip,tip_p,sex,smoker,day,time,size
16.04,2.24,13.97,Male,No,Sat,Dinner,3
17.46,2.54,14.55,Male,No,Sun,Dinner,2
13.94,3.06,21.95,Male,No,Sun,Dinner,2
9.68,1.32,13.64,Male,No,Sun,Dinner,2
30.4,5.6,18.42,Male,No,Sun,Dinner,4
18.29,3,16.4,Male,No,Sun,Dinner,2
22.23,5,22.49,Male,No,Sun,Dinner,2
32.4,6,18.52,Male,No,Sun,Dinner,4
28.55,2.05,7.18,Male,No,Sun,Dinner,3
18.04,3,16.63,Male,No,Sun,Dinner,2
12.54,2.5,19.94,Male,No,Sun,Dinner,2
10.29,2.6,25.27,Female,No,Sun,Dinner,2
34.81,5.2,14.94,Female,No,Sun,Dinner,4
9.94,1.56,15.69,Male,No,Sun,Dinner,2
25.56,4.34,16.98,Male,No,Sun,Dinner,4
19.49,3.51,18.01,Male,No,Sun,Dinner,2
38.01,3,7.89,Male,Yes,Sat,Dinner,4
26.41,1.5,5.68,Female,No,Sat,Dinner,2
11.24,1.76,15.66,Male,Yes,Sat,Dinner,2
48.27,6.73,13.94,Male,No,Sat,Dinner,4
20.29,3.21,15.82,Male,Yes,Sat,Dinner,2
13.81,2,14.48,Male,Yes,Sat,Dinner,2
11.02,1.98,17.97,Male,Yes,Sat,Dinner,2
18.29,3.76,20.56,Male,Yes,Sat,Dinner,4
17.59,2.64,15.01,Male,No,Sat,Dinner,3
20.08,3.15,15.69,Male,No,Sat,Dinner,3
16.45,2.47,15.02,Female,No,Sat,Dinner,2
3.07,1,32.57,Female,Yes,Sat,Dinner,1
20.23,2.01,9.94,Male,No,Sat,Dinner,2
15.01,2.09,13.92,Male,Yes,Sat,Dinner,2
12.02,1.97,16.39,Male,No,Sat,Dinner,2
17.07,3,17.57,Female,No,Sat,Dinner,3
26.86,3.14,11.69,Female,Yes,Sat,Dinner,2
25.28,5,19.78,Female,Yes,Sat,Dinner,2
14.73,2.2,14.94,Female,No,Sat,Dinner,2
10.51,1.25,11.89,Male,No,Sat,Dinner,2
17.92,3.08,17.19,Male,Yes,Sat,Dinner,2
27.2,4,14.71,Male,No,Thur,Lunch,4
22.76,3,13.18,Male,No,Thur,Lunch,2
17.29,2.71,15.67,Male,No,Thur,Lunch,2
19.44,3,15.43,Male,Yes,Thur,Lunch,2
16.66,3.4,20.41,Male,No,Thur,Lunch,2
10.07,1.83,18.17,Female,No,Thur,Lunch,1
32.68,5,15.3,Male,Yes,Thur,Lunch,2
15.98,2.03,12.7,Male,No,Thur,Lunch,2
34.83,5.17,14.84,Female,No,Thur,Lunch,4
13.03,2,15.35,Male,No,Thur,Lunch,2
18.28,4,21.88,Male,No,Thur,Lunch,2
24.71,5.85,23.67,Male,No,Thur,Lunch,2
21.16,3,14.18,Male,No,Thur,Lunch,2
28.97,3,10.36,Male,Yes,Fri,Dinner,2
22.49,3.5,15.56,Male,No,Fri,Dinner,2
5.75,1,17.39,Female,Yes,Fri,Dinner,2
16.32,4.3,26.35,Female,Yes,Fri,Dinner,2
22.75,3.25,14.29,Female,No,Fri,Dinner,2
40.17,4.73,11.77,Male,Yes,Fri,Dinner,4
27.28,4,14.66,Male,Yes,Fri,Dinner,2
12.03,1.5,12.47,Male,Yes,Fri,Dinner,2
21.01,3,14.28,Male,Yes,Fri,Dinner,2
12.46,1.5,12.04,Male,No,Fri,Dinner,2
11.35,2.5,22.03,Female,Yes,Fri,Dinner,2
15.38,3,19.51,Female,Yes,Fri,Dinner,2
44.3,2.5,5.64,Female,Yes,Sat,Dinner,3
22.42,3.48,15.52,Female,Yes,Sat,Dinner,2
20.92,4.08,19.5,Female,No,Sat,Dinner,2
15.36,1.64,10.68,Male,Yes,Sat,Dinner,2
20.49,4.06,19.81,Male,Yes,Sat,Dinner,2
25.21,4.29,17.02,Male,Yes,Sat,Dinner,2
18.24,3.76,20.61,Male,No,Sat,Dinner,2
14.31,4,27.95,Female,Yes,Sat,Dinner,2
14,3,21.43,Male,No,Sat,Dinner,2
7.25,1,13.79,Female,No,Sat,Dinner,1
38.07,4,10.51,Male,No,Sun,Dinner,3
23.95,2.55,10.65,Male,No,Sun,Dinner,2
25.71,4,15.56,Female,No,Sun,Dinner,3
17.31,3.5,20.22,Female,No,Sun,Dinner,2
29.93,5.07,16.94,Male,No,Sun,Dinner,4
10.65,1.5,14.08,Female,No,Thur,Lunch,2
12.43,1.8,14.48,Female,No,Thur,Lunch,2
24.08,2.92,12.13,Female,No,Thur,Lunch,4
11.69,2.31,19.76,Male,No,Thur,Lunch,2
13.42,1.68,12.52,Female,No,Thur,Lunch,2
14.26,2.5,17.53,Male,No,Thur,Lunch,2
15.95,2,12.54,Male,No,Thur,Lunch,2
12.48,2.52,20.19,Female,No,Thur,Lunch,2
29.8,4.2,14.09,Female,No,Thur,Lunch,6
8.52,1.48,17.37,Male,No,Thur,Lunch,2
14.52,2,13.77,Female,No,Thur,Lunch,2
11.38,2,17.57,Female,No,Thur,Lunch,2
22.82,2.18,9.55,Male,No,Thur,Lunch,3
19.08,1.5,7.86,Male,No,Thur,Lunch,2
20.27,2.83,13.96,Female,No,Thur,Lunch,2
11.17,1.5,13.43,Female,No,Thur,Lunch,2
12.26,2,16.31,Female,No,Thur,Lunch,2
18.26,3.25,17.8,Female,No,Thur,Lunch,2
8.51,1.25,14.69,Female,No,Thur,Lunch,2
10.33,2,19.36,Female,No,Thur,Lunch,2
14.15,2,14.13,Female,No,Thur,Lunch,2
16,2,12.5,Male,Yes,Thur,Lunch,2
13.16,2.75,20.9,Female,No,Thur,Lunch,2
17.47,3.5,20.03,Female,No,Thur,Lunch,2
34.3,6.7,19.53,Male,No,Thur,Lunch,6
41.19,5,12.14,Male,No,Thur,Lunch,5
27.05,5,18.48,Female,No,Thur,Lunch,6
16.43,2.3,14,Female,No,Thur,Lunch,2
8.35,1.5,17.96,Female,No,Thur,Lunch,2
18.64,1.36,7.3,Female,No,Thur,Lunch,3
11.87,1.63,13.73,Female,No,Thur,Lunch,2
9.78,1.73,17.69,Male,No,Thur,Lunch,2
7.51,2,26.63,Male,No,Thur,Lunch,2
14.07,2.5,17.77,Male,No,Sun,Dinner,2
13.13,2,15.23,Male,No,Sun,Dinner,2
17.26,2.74,15.87,Male,No,Sun,Dinner,3
24.55,2,8.15,Male,No,Sun,Dinner,4
19.77,2,10.12,Male,No,Sun,Dinner,4
29.85,5.14,17.22,Female,No,Sun,Dinner,5
48.17,5,10.38,Male,No,Sun,Dinner,6
25,3.75,15,Female,No,Sun,Dinner,4
13.39,2.61,19.49,Female,No,Sun,Dinner,2
16.49,2,12.13,Male,No,Sun,Dinner,4
21.5,3.5,16.28,Male,No,Sun,Dinner,4
12.66,2.5,19.75,Male,No,Sun,Dinner,2
16.21,2,12.34,Female,No,Sun,Dinner,3
13.81,2,14.48,Male,No,Sun,Dinner,2
17.51,3,17.13,Female,Yes,Sun,Dinner,2
24.52,3.48,14.19,Male,No,Sun,Dinner,3
20.76,2.24,10.79,Male,No,Sun,Dinner,2
31.71,4.5,14.19,Male,No,Sun,Dinner,4
10.59,1.61,15.2,Female,Yes,Sat,Dinner,2
10.63,2,18.81,Female,Yes,Sat,Dinner,2
50.81,10,19.68,Male,Yes,Sat,Dinner,3
15.81,3.16,19.99,Male,Yes,Sat,Dinner,2
7.25,5.15,71.03,Male,Yes,Sun,Dinner,2
31.85,3.18,9.98,Male,Yes,Sun,Dinner,2
16.82,4,23.78,Male,Yes,Sun,Dinner,2
32.9,3.11,9.45,Male,Yes,Sun,Dinner,2
17.89,2,11.18,Male,Yes,Sun,Dinner,2
14.48,2,13.81,Male,Yes,Sun,Dinner,2
9.6,4,41.67,Female,Yes,Sun,Dinner,2
34.63,3.55,10.25,Male,Yes,Sun,Dinner,2
34.65,3.68,10.62,Male,Yes,Sun,Dinner,4
23.33,5.65,24.22,Male,Yes,Sun,Dinner,2
45.35,3.5,7.72,Male,Yes,Sun,Dinner,3
23.17,6.5,28.05,Male,Yes,Sun,Dinner,4
40.55,3,7.4,Male,Yes,Sun,Dinner,2
20.69,5,24.17,Male,No,Sun,Dinner,5
20.9,3.5,16.75,Female,Yes,Sun,Dinner,3
30.46,2,6.57,Male,Yes,Sun,Dinner,5
18.15,3.5,19.28,Female,Yes,Sun,Dinner,3
23.1,4,17.32,Male,Yes,Sun,Dinner,3
15.69,1.5,9.56,Male,Yes,Sun,Dinner,2
19.81,4.19,21.15,Female,Yes,Thur,Lunch,2
28.44,2.56,9,Male,Yes,Thur,Lunch,2
15.48,2.02,13.05,Male,Yes,Thur,Lunch,2
16.58,4,24.13,Male,Yes,Thur,Lunch,2
7.56,1.44,19.05,Male,No,Thur,Lunch,2
10.34,2,19.34,Male,Yes,Thur,Lunch,2
43.11,5,11.6,Female,Yes,Thur,Lunch,4
13,2,15.38,Female,Yes,Thur,Lunch,2
13.51,2,14.8,Male,Yes,Thur,Lunch,2
18.71,4,21.38,Male,Yes,Thur,Lunch,3
12.74,2.01,15.78,Female,Yes,Thur,Lunch,2
13,2,15.38,Female,Yes,Thur,Lunch,2
16.4,2.5,15.24,Female,Yes,Thur,Lunch,2
20.53,4,19.48,Male,Yes,Thur,Lunch,4
16.47,3.23,19.61,Female,Yes,Thur,Lunch,3
26.59,3.41,12.82,Male,Yes,Sat,Dinner,3
38.73,3,7.75,Male,Yes,Sat,Dinner,4
24.27,2.03,8.36,Male,Yes,Sat,Dinner,2
12.76,2.23,17.48,Female,Yes,Sat,Dinner,2
30.06,2,6.65,Male,Yes,Sat,Dinner,3
25.89,5.16,19.93,Male,Yes,Sat,Dinner,4
48.33,9,18.62,Male,No,Sat,Dinner,4
13.27,2.5,18.84,Female,Yes,Sat,Dinner,2
28.17,6.5,23.07,Female,Yes,Sat,Dinner,3
12.9,1.1,8.53,Female,Yes,Sat,Dinner,2
28.15,3,10.66,Male,Yes,Sat,Dinner,5
11.59,1.5,12.94,Male,Yes,Sat,Dinner,2
7.74,1.44,18.6,Male,Yes,Sat,Dinner,2
30.14,3.09,10.25,Female,Yes,Sat,Dinner,4
12.16,2.2,18.09,Male,Yes,Fri,Lunch,2
13.42,3.48,25.93,Female,Yes,Fri,Lunch,2
8.58,1.92,22.38,Male,Yes,Fri,Lunch,1
15.98,3,18.77,Female,No,Fri,Lunch,3
13.42,1.58,11.77,Male,Yes,Fri,Lunch,2
16.27,2.5,15.37,Female,Yes,Fri,Lunch,2
10.09,2,19.82,Female,Yes,Fri,Lunch,2
20.45,3,14.67,Male,No,Sat,Dinner,4
13.28,2.72,20.48,Male,No,Sat,Dinner,2
22.12,2.88,13.02,Female,Yes,Sat,Dinner,2
24.01,2,8.33,Male,Yes,Sat,Dinner,4
15.69,3,19.12,Male,Yes,Sat,Dinner,3
11.61,3.39,29.2,Male,No,Sat,Dinner,2
10.77,1.47,13.65,Male,No,Sat,Dinner,2
15.53,3,19.32,Male,Yes,Sat,Dinner,2
10.07,1.25,12.41,Male,No,Sat,Dinner,2
12.6,1,7.94,Male,Yes,Sat,Dinner,2
32.83,1.17,3.56,Male,Yes,Sat,Dinner,2
35.83,4.67,13.03,Female,No,Sat,Dinner,3
29.03,5.92,20.39,Male,No,Sat,Dinner,3
27.18,2,7.36,Female,Yes,Sat,Dinner,2
22.67,2,8.82,Male,Yes,Sat,Dinner,2
17.82,1.75,9.82,Male,No,Sat,Dinner,2
18.78,3,15.97,Female,No,Thur,Dinner,2
